gkclasstype,gender,race,gkschid,gkfreelunch,gksurban,g8tmathss,g8treadss,hsgrdcol
REGULAR CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,801,731,YES
SMALL CLASS,FEMALE,BLACK,244806,FREE LUNCH,INNER CITY,765,723,NA
SMALL CLASS,MALE,BLACK,244780,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244818,FREE LUNCH,INNER CITY,731,716,NA
SMALL CLASS,MALE,WHITE,244839,NON-FREE LUNCH,SUBURBAN,NA,NA,NO
SMALL CLASS,MALE,BLACK,244799,NON-FREE LUNCH,SUBURBAN,795,782,NA
REGULAR CLASS,FEMALE,WHITE,205488,NON-FREE LUNCH,SUBURBAN,820,774,YES
REGULAR CLASS,MALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,776,743,YES
REGULAR CLASS,FEMALE,BLACK,244831,FREE LUNCH,SUBURBAN,812,785,YES
REGULAR CLASS,FEMALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,795,778,YES
SMALL CLASS,MALE,WHITE,218562,NON-FREE LUNCH,URBAN,788,751,NO
SMALL CLASS,MALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
REGULAR CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,751,809,YES
SMALL CLASS,FEMALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,758,797,YES
SMALL CLASS,FEMALE,BLACK,169231,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,201449,NON-FREE LUNCH,RURAL,810,782,YES
SMALL CLASS,MALE,BLACK,244818,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,721,646,NA
REGULAR CLASS,FEMALE,WHITE,128068,FREE LUNCH,RURAL,716,722,NA
REGULAR CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,860,808,NA
REGULAR CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,784,697,NA
SMALL CLASS,FEMALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,832,739,YES
SMALL CLASS,MALE,BLACK,205490,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,169280,NON-FREE LUNCH,SUBURBAN,881,795,YES
SMALL CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,745,729,NA
REGULAR CLASS,FEMALE,BLACK,244755,NON-FREE LUNCH,INNER CITY,757,763,YES
SMALL CLASS,MALE,WHITE,161176,NON-FREE LUNCH,RURAL,804,773,NA
SMALL CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
REGULAR CLASS,MALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,159171,NON-FREE LUNCH,RURAL,787,718,YES
SMALL CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,796,784,YES
REGULAR CLASS,MALE,BLACK,205490,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,712,NO
SMALL CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,BLACK,244799,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,205492,FREE LUNCH,SUBURBAN,754,770,YES
SMALL CLASS,MALE,BLACK,244736,FREE LUNCH,INNER CITY,733,716,YES
SMALL CLASS,FEMALE,WHITE,244745,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,888,858,NA
SMALL CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,757,707,YES
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,765,710,YES
SMALL CLASS,MALE,WHITE,193423,NON-FREE LUNCH,RURAL,762,765,YES
REGULAR CLASS,MALE,BLACK,169229,NON-FREE LUNCH,SUBURBAN,760,783,NA
REGULAR CLASS,MALE,WHITE,244801,NON-FREE LUNCH,SUBURBAN,800,804,NO
SMALL CLASS,MALE,WHITE,166203,NON-FREE LUNCH,URBAN,772,792,YES
SMALL CLASS,FEMALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,766,779,YES
REGULAR CLASS,FEMALE,WHITE,170295,NON-FREE LUNCH,RURAL,781,745,YES
SMALL CLASS,FEMALE,WHITE,201449,NON-FREE LUNCH,RURAL,824,863,YES
SMALL CLASS,MALE,BLACK,244723,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,205492,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,244831,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,201449,NON-FREE LUNCH,RURAL,797,737,YES
REGULAR CLASS,FEMALE,WHITE,161176,NON-FREE LUNCH,RURAL,802,788,YES
SMALL CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,785,720,NO
REGULAR CLASS,MALE,WHITE,180344,NON-FREE LUNCH,URBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,173312,NON-FREE LUNCH,RURAL,845,817,YES
SMALL CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,708,722,YES
REGULAR CLASS,MALE,BLACK,244727,NON-FREE LUNCH,SUBURBAN,NA,NA,NO
SMALL CLASS,MALE,WHITE,212522,FREE LUNCH,URBAN,NA,NA,NO
REGULAR CLASS,FEMALE,BLACK,244806,NON-FREE LUNCH,INNER CITY,820,775,YES
SMALL CLASS,FEMALE,WHITE,180344,NON-FREE LUNCH,URBAN,827,804,NA
REGULAR CLASS,FEMALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,BLACK,180344,FREE LUNCH,URBAN,777,757,YES
REGULAR CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,810,794,NA
REGULAR CLASS,FEMALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,871,788,NA
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,205488,FREE LUNCH,SUBURBAN,767,709,NA
REGULAR CLASS,FEMALE,WHITE,261927,NON-FREE LUNCH,RURAL,824,780,YES
REGULAR CLASS,FEMALE,WHITE,203452,NON-FREE LUNCH,RURAL,785,753,NO
REGULAR CLASS,FEMALE,WHITE,203452,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,203457,NON-FREE LUNCH,RURAL,806,805,YES
REGULAR CLASS,FEMALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244776,NON-FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,244831,FREE LUNCH,SUBURBAN,816,790,NA
REGULAR CLASS,FEMALE,BLACK,244799,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,218562,NON-FREE LUNCH,URBAN,741,693,YES
SMALL CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
REGULAR CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,189378,NON-FREE LUNCH,RURAL,786,781,YES
REGULAR CLASS,FEMALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,779,739,YES
SMALL CLASS,MALE,WHITE,212522,NON-FREE LUNCH,URBAN,816,769,YES
SMALL CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,766,743,NO
REGULAR CLASS,FEMALE,WHITE,161183,NON-FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,FEMALE,BLACK,244839,FREE LUNCH,SUBURBAN,781,741,YES
SMALL CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244799,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244780,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244776,NON-FREE LUNCH,INNER CITY,752,723,NA
SMALL CLASS,MALE,WHITE,170295,NON-FREE LUNCH,RURAL,824,776,YES
SMALL CLASS,MALE,WHITE,205488,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,203452,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,201449,NON-FREE LUNCH,RURAL,816,786,NA
REGULAR CLASS,MALE,WHITE,201449,FREE LUNCH,RURAL,770,786,YES
REGULAR CLASS,FEMALE,BLACK,201449,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,201449,NON-FREE LUNCH,RURAL,829,791,YES
SMALL CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,203452,FREE LUNCH,RURAL,842,834,YES
SMALL CLASS,MALE,WHITE,203452,NON-FREE LUNCH,RURAL,833,783,YES
SMALL CLASS,FEMALE,BLACK,244723,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244780,FREE LUNCH,INNER CITY,678,725,NA
REGULAR CLASS,MALE,WHITE,161183,NON-FREE LUNCH,RURAL,832,811,YES
SMALL CLASS,FEMALE,BLACK,244697,FREE LUNCH,INNER CITY,767,756,NA
REGULAR CLASS,MALE,WHITE,205488,NON-FREE LUNCH,SUBURBAN,764,767,NO
SMALL CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,868,823,YES
SMALL CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,205488,NON-FREE LUNCH,SUBURBAN,834,766,NA
SMALL CLASS,MALE,BLACK,244818,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244774,FREE LUNCH,INNER CITY,705,705,NA
REGULAR CLASS,FEMALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,837,837,NA
SMALL CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,853,892,NA
SMALL CLASS,FEMALE,WHITE,130085,NON-FREE LUNCH,SUBURBAN,798,760,NA
SMALL CLASS,FEMALE,WHITE,128076,NON-FREE LUNCH,SUBURBAN,718,721,NA
REGULAR CLASS,FEMALE,WHITE,205488,NON-FREE LUNCH,SUBURBAN,757,772,YES
SMALL CLASS,MALE,BLACK,244755,NON-FREE LUNCH,INNER CITY,778,771,NA
SMALL CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244831,FREE LUNCH,SUBURBAN,777,786,NA
SMALL CLASS,FEMALE,BLACK,244796,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,785,689,NA
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,731,742,YES
SMALL CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
REGULAR CLASS,MALE,BLACK,180344,NON-FREE LUNCH,URBAN,779,753,NO
REGULAR CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,765,736,YES
SMALL CLASS,MALE,WHITE,170295,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,203452,FREE LUNCH,RURAL,NA,766,NA
REGULAR CLASS,FEMALE,BLACK,205492,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,792,797,YES
REGULAR CLASS,MALE,WHITE,128076,NON-FREE LUNCH,SUBURBAN,778,746,NA
REGULAR CLASS,MALE,WHITE,128079,NON-FREE LUNCH,RURAL,851,865,YES
REGULAR CLASS,MALE,BLACK,244723,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,205492,FREE LUNCH,SUBURBAN,NA,739,NA
SMALL CLASS,MALE,BLACK,244736,FREE LUNCH,INNER CITY,783,746,YES
REGULAR CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,205492,FREE LUNCH,SUBURBAN,857,772,YES
SMALL CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,208501,NON-FREE LUNCH,RURAL,844,803,YES
SMALL CLASS,MALE,WHITE,244818,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,208501,NON-FREE LUNCH,RURAL,814,767,NA
REGULAR CLASS,MALE,WHITE,230612,NON-FREE LUNCH,RURAL,758,741,YES
SMALL CLASS,FEMALE,BLACK,244723,FREE LUNCH,INNER CITY,806,751,YES
REGULAR CLASS,FEMALE,WHITE,208503,NON-FREE LUNCH,RURAL,775,733,NA
REGULAR CLASS,FEMALE,WHITE,221571,NON-FREE LUNCH,RURAL,804,NA,NO
SMALL CLASS,FEMALE,WHITE,221571,FREE LUNCH,RURAL,798,754,NO
REGULAR CLASS,MALE,WHITE,208503,NON-FREE LUNCH,RURAL,884,856,YES
REGULAR CLASS,FEMALE,WHITE,208501,NON-FREE LUNCH,RURAL,733,730,NA
REGULAR CLASS,FEMALE,WHITE,161183,NON-FREE LUNCH,RURAL,820,801,YES
SMALL CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,209510,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,244831,FREE LUNCH,SUBURBAN,783,780,YES
SMALL CLASS,MALE,BLACK,212522,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,920,825,NA
SMALL CLASS,FEMALE,BLACK,193423,NON-FREE LUNCH,RURAL,719,767,YES
REGULAR CLASS,FEMALE,BLACK,244746,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,215533,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,216536,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,205492,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,170295,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,244745,FREE LUNCH,SUBURBAN,828,754,YES
REGULAR CLASS,FEMALE,WHITE,244745,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,NA,770,NA
SMALL CLASS,FEMALE,WHITE,159171,FREE LUNCH,RURAL,787,769,YES
REGULAR CLASS,MALE,BLACK,244780,FREE LUNCH,INNER CITY,767,766,NA
SMALL CLASS,MALE,BLACK,205490,FREE LUNCH,INNER CITY,572,618,NA
REGULAR CLASS,FEMALE,BLACK,244780,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,161176,NON-FREE LUNCH,RURAL,859,784,NA
SMALL CLASS,MALE,WHITE,159171,NON-FREE LUNCH,RURAL,830,780,NA
REGULAR CLASS,MALE,WHITE,159171,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,657,658,YES
SMALL CLASS,FEMALE,WHITE,180344,NON-FREE LUNCH,URBAN,847,826,YES
SMALL CLASS,MALE,WHITE,173312,FREE LUNCH,RURAL,766,759,NA
REGULAR CLASS,FEMALE,WHITE,170295,NON-FREE LUNCH,RURAL,784,751,NA
REGULAR CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,717,722,NA
REGULAR CLASS,MALE,WHITE,215533,NON-FREE LUNCH,RURAL,757,588,NA
SMALL CLASS,MALE,BLACK,244746,FREE LUNCH,INNER CITY,842,756,YES
REGULAR CLASS,MALE,BLACK,215533,FREE LUNCH,RURAL,816,749,YES
REGULAR CLASS,MALE,WHITE,230612,NON-FREE LUNCH,RURAL,752,751,YES
SMALL CLASS,MALE,WHITE,159171,NON-FREE LUNCH,RURAL,791,769,YES
SMALL CLASS,MALE,WHITE,215533,NON-FREE LUNCH,RURAL,790,782,YES
SMALL CLASS,FEMALE,WHITE,168214,NON-FREE LUNCH,RURAL,784,774,NO
REGULAR CLASS,MALE,BLACK,244806,NON-FREE LUNCH,INNER CITY,778,749,YES
REGULAR CLASS,MALE,WHITE,221571,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,221574,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244839,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,221571,FREE LUNCH,RURAL,784,756,NA
SMALL CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,750,755,NO
SMALL CLASS,FEMALE,WHITE,128076,FREE LUNCH,SUBURBAN,778,747,NA
SMALL CLASS,MALE,WHITE,244831,NON-FREE LUNCH,SUBURBAN,829,755,YES
REGULAR CLASS,FEMALE,BLACK,244818,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,228606,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244799,NON-FREE LUNCH,SUBURBAN,763,764,YES
SMALL CLASS,FEMALE,WHITE,228606,NON-FREE LUNCH,RURAL,876,759,YES
SMALL CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,797,724,YES
REGULAR CLASS,FEMALE,WHITE,231616,NON-FREE LUNCH,RURAL,842,806,YES
SMALL CLASS,MALE,WHITE,162184,NON-FREE LUNCH,RURAL,810,763,YES
REGULAR CLASS,MALE,WHITE,170295,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244723,FREE LUNCH,INNER CITY,775,718,NA
REGULAR CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,811,804,YES
SMALL CLASS,FEMALE,BLACK,244839,FREE LUNCH,SUBURBAN,758,732,NA
SMALL CLASS,MALE,WHITE,261927,NON-FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,MALE,WHITE,261927,NON-FREE LUNCH,RURAL,846,834,NA
REGULAR CLASS,FEMALE,WHITE,164198,NON-FREE LUNCH,RURAL,845,795,YES
REGULAR CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,794,756,NA
REGULAR CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,855,810,YES
SMALL CLASS,MALE,WHITE,218562,NON-FREE LUNCH,URBAN,NA,NA,YES
SMALL CLASS,MALE,WHITE,218562,NA,URBAN,NA,NA,YES
REGULAR CLASS,MALE,WHITE,257899,NON-FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,FEMALE,BLACK,244806,NON-FREE LUNCH,INNER CITY,806,781,YES
SMALL CLASS,FEMALE,BLACK,244727,NON-FREE LUNCH,SUBURBAN,851,844,YES
SMALL CLASS,FEMALE,BLACK,244755,NON-FREE LUNCH,INNER CITY,799,712,YES
REGULAR CLASS,MALE,BLACK,244799,NON-FREE LUNCH,SUBURBAN,766,718,YES
REGULAR CLASS,MALE,BLACK,244728,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244746,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,244745,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,203452,FREE LUNCH,RURAL,751,696,NA
SMALL CLASS,MALE,WHITE,203452,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,769,759,NA
SMALL CLASS,MALE,BLACK,205492,FREE LUNCH,SUBURBAN,NA,NA,YES
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,772,712,YES
SMALL CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244746,FREE LUNCH,INNER CITY,834,751,NA
REGULAR CLASS,FEMALE,BLACK,244697,FREE LUNCH,INNER CITY,741,706,NA
REGULAR CLASS,FEMALE,BLACK,205492,FREE LUNCH,SUBURBAN,729,712,YES
REGULAR CLASS,MALE,BLACK,205490,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,244801,NON-FREE LUNCH,SUBURBAN,860,769,YES
REGULAR CLASS,FEMALE,BLACK,244780,FREE LUNCH,INNER CITY,732,753,YES
REGULAR CLASS,MALE,BLACK,244839,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,739,635,NA
REGULAR CLASS,MALE,WHITE,225585,NON-FREE LUNCH,RURAL,781,757,YES
SMALL CLASS,MALE,BLACK,244697,NON-FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,735,700,NA
SMALL CLASS,FEMALE,BLACK,244806,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,743,683,NO
REGULAR CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,842,785,YES
SMALL CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,861,806,YES
SMALL CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,715,726,NO
REGULAR CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244697,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244839,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244697,FREE LUNCH,INNER CITY,777,728,NA
SMALL CLASS,FEMALE,WHITE,128068,FREE LUNCH,RURAL,753,761,YES
REGULAR CLASS,FEMALE,BLACK,244728,NON-FREE LUNCH,INNER CITY,778,750,YES
SMALL CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,128068,NON-FREE LUNCH,RURAL,826,788,YES
REGULAR CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NO
SMALL CLASS,MALE,BLACK,244697,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244774,NON-FREE LUNCH,INNER CITY,776,748,YES
SMALL CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244780,NON-FREE LUNCH,INNER CITY,797,760,YES
REGULAR CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,752,707,YES
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,828,764,YES
REGULAR CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,695,773,YES
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,784,726,YES
REGULAR CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,819,787,YES
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,796,760,YES
REGULAR CLASS,FEMALE,WHITE,261927,NON-FREE LUNCH,RURAL,754,726,YES
REGULAR CLASS,MALE,BLACK,244755,NON-FREE LUNCH,INNER CITY,765,746,YES
SMALL CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244736,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244774,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,817,781,YES
REGULAR CLASS,MALE,BLACK,244697,NON-FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244806,FREE LUNCH,INNER CITY,740,731,YES
SMALL CLASS,FEMALE,WHITE,193422,NON-FREE LUNCH,RURAL,810,841,YES
SMALL CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244818,NON-FREE LUNCH,INNER CITY,827,786,NO
REGULAR CLASS,MALE,WHITE,259915,FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,MALE,WHITE,259915,FREE LUNCH,RURAL,840,811,YES
REGULAR CLASS,MALE,WHITE,128079,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,259915,NON-FREE LUNCH,RURAL,779,847,YES
REGULAR CLASS,MALE,BLACK,244818,FREE LUNCH,INNER CITY,NA,NA,NO
SMALL CLASS,MALE,BLACK,244697,FREE LUNCH,INNER CITY,NA,NA,YES
REGULAR CLASS,FEMALE,WHITE,257905,NON-FREE LUNCH,URBAN,NA,892,YES
REGULAR CLASS,FEMALE,WHITE,205488,FREE LUNCH,SUBURBAN,834,810,NA
REGULAR CLASS,MALE,WHITE,216536,NON-FREE LUNCH,RURAL,823,810,NA
